#Date Time	Lux	CLA	CS	Activity
03/14/2013 12:00:30	152.1090	89.0669	0.1249	0.7039
03/14/2013 12:01:00	113.8234	138.5253	0.1828	0.5920
03/14/2013 12:01:30	127.4858	73.2415	0.1043	0.8169
03/14/2013 12:02:00	49.9832	53.9770	0.0778	0.6724
03/14/2013 12:02:30	81.4181	52.1914	0.0753	0.7387
03/14/2013 12:03:00	61.5536	31.4086	0.0451	0.7135
03/14/2013 12:03:30	5.6268	3.3469	0.0041	0.1792
03/14/2013 12:04:00	207.7824	243.0757	0.2776	0.8615
03/14/2013 12:04:30	168.4531	81.8104	0.1156	0.6924
03/14/2013 12:05:00	146.2628	76.7501	0.1090	0.5449
03/14/2013 12:05:30	146.9845	79.4388	0.1125	0.0382
03/14/2013 12:06:00	76.9663	39.2996	0.0567	0.8470
03/14/2013 12:06:30	33.5170	40.2148	0.0580	0.1986
03/14/2013 12:07:00	85.8600	103.4903	0.1428	0.2397
03/14/2013 12:07:30	127.6954	152.2836	0.1973	0.2162
03/14/2013 12:08:00	164.7230	196.7866	0.2397	0.6541
03/14/2013 12:08:30	169.1017	81.5445	0.1153	0.5136
03/14/2013 12:09:00	152.5381	79.9340	0.1131	0.6102
03/14/2013 12:09:30	138.5199	71.2608	0.1016	0.8293
03/14/2013 12:10:00	51.7676	26.9255	0.0384	0.1961
03/14/2013 12:10:30	89.5170	45.5742	0.0658	0.4186
03/14/2013 12:11:00	81.7740	40.1413	0.0579	0.4026
03/14/2013 12:11:30	115.7201	134.4046	0.1784	0.5924
03/14/2013 12:12:00	221.9130	245.9219	0.2798	0.4215
03/14/2013 12:12:30	273.0320	311.7016	0.3246	0.3757
03/14/2013 12:13:00	240.4072	277.3886	0.3023	0.4622
03/14/2013 12:13:30	141.6405	168.5480	0.2135	0.5594
03/14/2013 12:14:00	129.8116	155.6813	0.2007	0.6134
03/14/2013 12:14:30	111.0587	135.1266	0.1792	0.2773
03/14/2013 12:15:00	125.0770	153.8972	0.1989	0.3033
03/14/2013 12:15:30	136.9060	166.7639	0.2118	0.1058
03/14/2013 12:16:00	55.9268	28.0226	0.0401	0.5740
03/14/2013 12:16:30	85.3578	44.4629	0.0642	0.3425
03/14/2013 12:17:00	89.4438	42.6274	0.0615	0.3808
03/14/2013 12:17:30	85.2115	103.4893	0.1428	0.1973
03/14/2013 12:18:00	97.6158	113.8509	0.1552	0.3097
03/14/2013 12:18:30	205.1299	223.7527	0.2625	0.5426
03/14/2013 12:19:00	240.8363	269.8712	0.2971	0.4808
03/14/2013 12:19:30	139.4512	162.6442	0.2077	0.3220
03/14/2013 12:20:00	117.1877	137.8013	0.1821	0.0584
03/14/2013 12:20:30	216.6030	246.6429	0.2803	0.2927
03/14/2013 12:21:00	250.6222	281.8464	0.3053	0.2195
03/14/2013 12:21:30	39.7924	47.9017	0.0692	0.6451
03/14/2013 12:22:00	205.8465	113.0696	0.1542	0.6552
03/14/2013 12:22:30	197.0991	119.9008	0.1622	0.0493
03/14/2013 12:23:00	190.8969	119.6427	0.1619	0.2386
03/14/2013 12:23:30	186.8109	121.4463	0.1639	0.4390
